iter	Accuracy	Logloss
0	0.849875	0.6194934242
1	0.851125	0.5597090205
2	0.850125	0.5155442087
3	0.850625	0.4874665375
4	0.850625	0.461475643
5	0.852875	0.4379236788
6	0.856	0.4238511335
7	0.85625	0.4123564406
8	0.85725	0.3967064532
9	0.857625	0.3890922744
10	0.85875	0.383319305
11	0.858	0.3768174089
12	0.859875	0.3712222988
13	0.860625	0.364854033
14	0.862125	0.3595829398
15	0.862375	0.3562502236
16	0.863	0.3533448856
17	0.863375	0.3507687424
18	0.864	0.3469877047
19	0.86325	0.3452491425
20	0.86325	0.3427159672
21	0.863875	0.3405136352
22	0.8645	0.3382723482
23	0.864	0.3368195148
24	0.86375	0.3349998652
25	0.864375	0.3342140252
26	0.864375	0.3330404242
27	0.864875	0.3319274253
28	0.86525	0.3303587146
29	0.865	0.3297053253
30	0.86575	0.3288767984
31	0.8655	0.3277872425
32	0.86625	0.3267060862
33	0.867125	0.3259754737
34	0.866625	0.3252895255
35	0.866125	0.3241940217
36	0.86625	0.3236681567
37	0.86675	0.3227699145
38	0.866875	0.3225776726
39	0.86725	0.3223125912
40	0.867375	0.3220726914
41	0.867125	0.3213426033
42	0.868	0.3208114076
43	0.868375	0.3204384331
44	0.868125	0.3196089224
45	0.869	0.3189938473
46	0.869125	0.3183566695
47	0.87	0.3174968554
48	0.871125	0.3165729679
49	0.8715	0.3156413123
50	0.87125	0.3150788115
51	0.871125	0.3145788148
52	0.871875	0.3140043132
53	0.87275	0.313616982
54	0.873375	0.3130116628
55	0.873625	0.3126311132
56	0.874125	0.3119348098
57	0.87425	0.3115240244
58	0.87375	0.3112515417
59	0.8735	0.3106201466
60	0.873875	0.3098606372
61	0.874	0.3093852054
62	0.8745	0.3090323497
63	0.875125	0.3085667596
64	0.8755	0.3079120146
65	0.875375	0.3077485595
66	0.87475	0.3072901775
67	0.875375	0.3068292273
68	0.87525	0.3068092084
69	0.875625	0.3066358431
70	0.8765	0.3060064176
71	0.876875	0.3056462912
72	0.877	0.30534962
73	0.8775	0.304661019
