iter	Passed	Remaining
0	35	12739
1	72	13023
2	113	13496
3	153	13675
4	197	14017
5	240	14209
6	289	14582
7	326	14363
8	368	14386
9	415	14527
10	456	14469
11	497	14418
12	540	14420
13	581	14378
14	625	14375
15	666	14329
16	709	14318
17	750	14261
18	798	14329
19	839	14276
20	884	14279
21	924	14205
22	970	14223
23	1017	14240
24	1072	14372
25	1116	14339
26	1175	14496
27	1225	14530
28	1282	14636
29	1344	14786
30	1398	14839
31	1446	14827
32	1492	14784
33	1541	14775
34	1593	14793
35	1640	14761
36	1689	14745
37	1735	14709
38	1765	14527
39	1796	14372
40	1825	14206
41	1872	14179
42	1915	14123
43	1959	14070
44	2007	14053
45	2059	14058
46	2112	14067
47	2153	13997
48	2200	13965
49	2242	13906
50	2282	13827
51	2330	13801
52	2373	13750
53	2430	13770
54	2472	13712
55	2514	13652
56	2556	13590
57	2597	13523
58	2643	13487
59	2688	13440
60	2729	13380
61	2774	13335
62	2819	13293
63	2864	13247
64	2914	13228
65	2967	13219
66	3009	13160
67	3051	13102
68	3067	12937
69	3108	12878
70	3151	12829
71	3191	12765
72	3232	12708
73	3279	12674
74	3324	12633
75	3364	12572
76	3406	12518
77	3451	12478
78	3493	12427
79	3533	12367
80	3578	12326
81	3622	12282
82	3666	12235
83	3705	12174
84	3748	12128
85	3790	12075
86	3834	12033
87	3879	11989
88	3921	11941
89	3967	11901
90	4017	11876
91	4059	11826
92	4101	11775
93	4142	11721
94	4190	11690
95	4236	11651
96	4277	11598
97	4321	11554
98	4363	11503
99	4403	11450
100	4454	11422
101	4501	11386
102	4544	11340
103	4588	11295
104	4632	11249
105	4672	11196
106	4717	11155
107	4763	11113
108	4807	11071
109	4853	11029
110	4893	10977
111	4945	10949
112	4992	10913
113	5041	10879
114	5082	10827
115	5124	10779
116	5175	10749
117	5217	10699
118	5262	10656
119	5307	10614
120	5350	10568
121	5396	10527
122	5444	10489
123	5484	10438
124	5529	10394
125	5572	10349
126	5614	10300
127	5654	10249
128	5695	10199
129	5746	10167
130	5791	10123
131	5832	10075
132	5877	10031
133	5918	9982
134	5964	9940
135	6008	9896
136	6054	9855
137	6097	9809
138	6141	9764
139	6195	9735
140	6236	9685
141	6279	9640
142	6323	9595
143	6365	9548
144	6406	9498
145	6446	9448
146	6488	9401
147	6531	9356
148	6572	9307
149	6616	9263
150	6664	9224
151	6707	9178
152	6752	9135
153	6797	9093
154	6838	9044
155	6881	8999
156	6932	8964
157	6980	8924
158	7025	8881
159	7075	8844
160	7121	8801
161	7161	8753
162	7201	8704
163	7251	8666
164	7299	8627
165	7339	8577
166	7379	8528
167	7426	8487
168	7466	8438
169	7508	8391
170	7551	8345
171	7595	8302
172	7635	8253
173	7678	8207
174	7721	8162
175	7765	8118
176	7808	8072
177	7849	8026
178	7892	7980
