iter	Accuracy	MultiClass
0	0.7500413291	0.6831778194
1	0.7887254092	0.6730440261
2	0.7892213589	0.6634674643
3	0.7892213589	0.6545785372
4	0.7892213589	0.6461404763
5	0.7890560423	0.6377692362
6	0.7878988263	0.6299388359
7	0.7878988263	0.6227488667
8	0.7893866755	0.6158890311
9	0.7888907257	0.6089465777
10	0.7890560423	0.6027641429
11	0.7892213589	0.5968327496
12	0.7895519921	0.5911332575
13	0.7892213589	0.5856029368
14	0.7893866755	0.581123448
15	0.7892213589	0.576270407
16	0.7892213589	0.5712954375
17	0.7892213589	0.5667111199
18	0.7892213589	0.5623337932
19	0.7892213589	0.5584101125
20	0.7885600926	0.5542724434
21	0.7882294594	0.5507002544
22	0.7902132584	0.5465779969
23	0.7961646553	0.5422924373
24	0.7959993387	0.5382196144
25	0.7958340222	0.5343497051
26	0.7961646553	0.5307484895
27	0.7964952885	0.5273957096
28	0.797487188	0.5242882489
29	0.7994709869	0.5212265597
30	0.8002975698	0.5183710119
31	0.7988097206	0.5158648886
32	0.7981484543	0.5133696969
33	0.7988097206	0.5111239312
34	0.798644404	0.50857617
35	0.7996363035	0.5063871416
36	0.798644404	0.504255415
37	0.7984790875	0.5020376752
38	0.7984790875	0.4999269778
39	0.7993056704	0.4978888634
40	0.7991403538	0.4960100366
41	0.7991403538	0.4942596489
42	0.7989750372	0.4924792145
43	0.7993056704	0.4909582452
44	0.7993056704	0.4895544766
45	0.7994709869	0.4880162158
46	0.7984790875	0.4865823341
47	0.7989750372	0.4851390877
48	0.7993056704	0.4836341915
49	0.7991403538	0.4823855811
50	0.7993056704	0.4811904005
51	0.7991403538	0.4802059423
52	0.7991403538	0.4790563086
53	0.7993056704	0.4779606853
54	0.7991403538	0.4767548721
55	0.798644404	0.4757844004
56	0.7988097206	0.4749553404
57	0.7994709869	0.4738577695
58	0.8001322533	0.4730110947
59	0.8001322533	0.4721860609
60	0.8001322533	0.4712842282
61	0.7999669367	0.4706971298
62	0.8001322533	0.4698322298
63	0.8001322533	0.469166892
64	0.7999669367	0.4687949094
65	0.7998016201	0.4681238808
66	0.7996363035	0.4672966867
67	0.7999669367	0.4665002585
68	0.7999669367	0.4657889819
69	0.7996363035	0.4650956896
70	0.7998016201	0.4643799268
71	0.8001322533	0.4637327127
72	0.8007935196	0.4631156421
73	0.8027773186	0.4624810661
74	0.8027773186	0.4618302752
75	0.8017854191	0.4611597688
76	0.8017854191	0.4604773229
77	0.8017854191	0.4598796943
78	0.8016201025	0.4593182054
79	0.8031079517	0.4588058356
80	0.8029426351	0.458493002
81	0.8019507357	0.4580299017
82	0.8019507357	0.4576637064
83	0.8019507357	0.4572825248
84	0.802612002	0.456849154
85	0.8024466854	0.4564481062
86	0.8027773186	0.4561347479
87	0.8022813688	0.4558023357
88	0.8029426351	0.4552884101
89	0.8031079517	0.4549203637
90	0.8024466854	0.4545676956
91	0.8022813688	0.454137111
92	0.8022813688	0.4538307293
93	0.8022813688	0.4535383274
94	0.8019507357	0.4532400581
95	0.8021160522	0.452899923
96	0.8019507357	0.4527004701
97	0.8021160522	0.4523703105
98	0.8021160522	0.4521493646
99	0.8021160522	0.4518859137
100	0.8022813688	0.4515826189
101	0.8024466854	0.4513431438
102	0.8022813688	0.4511317663
103	0.8022813688	0.4508962954
104	0.8022813688	0.4506871376
105	0.8022813688	0.4505065751
106	0.8022813688	0.4503266447
107	0.8027773186	0.4500756616
108	0.8022813688	0.4497123737
109	0.8024466854	0.4495607865
110	0.8022813688	0.4493078675
111	0.8024466854	0.4491024749
